seed,architecture,snr_db,channel,achieved_snr_db,mse_frequency,latency_ms_per_window,ess,acceptance_rate
5,Amortized surrogate,-5.0,LOS,-4.489989501695439,163.54010472398934,57.99626175,15.326427892138753,0.7840909090909092
5,Analytical score,-5.0,LOS,-4.489989501695439,212.42884994676493,47.6607985,8.17674365209929,0.7545454545454545
5,Amortized surrogate,-5.0,MP,-5.354972219835337,118.2567544813817,59.80152675,22.338662825129923,0.7977272727272728
5,Analytical score,-5.0,MP,-5.354972219835337,145.6476309004772,41.20957225,12.909549026655512,0.7931818181818182
5,Amortized surrogate,-5.0,NLOS,-4.543074944843487,158.1779217084333,58.5505695,12.223869429921582,0.825
5,Analytical score,-5.0,NLOS,-4.543074944843487,64.55457243132336,41.9632545,21.521146864190094,0.8386363636363637
5,Amortized surrogate,5.0,LOS,5.354177883541986,6.487837978057268,58.49140975,11.352287205798268,0.7840909090909091
5,Analytical score,5.0,LOS,5.354177883541986,0.18790820399963276,45.60064475,18.889357599612445,0.7909090909090909
5,Amortized surrogate,5.0,MP,5.110426163384753,12.395818860843953,64.746428,11.686288520714106,0.7977272727272727
5,Analytical score,5.0,MP,5.110426163384753,11.921009080229013,46.8630075,9.639146173141352,0.8136363636363637
5,Amortized surrogate,5.0,NLOS,5.5315227927011374,5.757044892232724,67.410577,11.9841661106946,0.7522727272727273
5,Analytical score,5.0,NLOS,5.5315227927011374,7.126440360884575,46.6431855,13.572517377077702,0.7659090909090909
5,Amortized surrogate,15.0,LOS,15.205163822918484,16.348530557002043,58.18472375,19.609746339134396,0.759090909090909
5,Analytical score,15.0,LOS,15.205163822918484,22.929565311637287,39.8583925,10.635385645343217,0.8136363636363637
5,Amortized surrogate,15.0,MP,15.118779453437288,7.852157345894572,55.72253875,11.385738541683736,0.8045454545454545
5,Analytical score,15.0,MP,15.118779453437288,11.317073678884038,41.97169425,9.01031268106977,0.8227272727272728
5,Amortized surrogate,15.0,NLOS,15.117245131507344,1.8132132611587874,66.5385385,17.705982304995427,0.7477272727272727
5,Analytical score,15.0,NLOS,15.117245131507344,10.63610511213503,43.42941325,9.63527088150168,0.8068181818181818
6,Amortized surrogate,-5.0,LOS,-4.883451985087495,264.78860643235157,60.92648825,16.92416537777574,0.7886363636363636
6,Analytical score,-5.0,LOS,-4.883451985087495,269.92333057437213,44.53105625,17.463236883646854,0.8204545454545454
6,Amortized surrogate,-5.0,MP,-4.998843660426737,49.96315207509876,59.2864405,26.69420268078818,0.7727272727272727
6,Analytical score,-5.0,MP,-4.998843660426737,48.4605951268272,41.62252675,25.609162621209336,0.7704545454545454
6,Amortized surrogate,-5.0,NLOS,-5.046113672382617,163.65341490693913,61.28398575,26.267662102413404,0.7931818181818182
6,Analytical score,-5.0,NLOS,-5.046113672382617,169.98728204824354,43.31505175,25.617861052327477,0.8113636363636364
6,Amortized surrogate,5.0,LOS,4.704974553063983,0.47060824360683073,63.880407,24.888142229716212,0.7363636363636363
6,Analytical score,5.0,LOS,4.704974553063983,0.23359281221890668,44.23565275,27.46870968213596,0.7431818181818182
6,Amortized surrogate,5.0,MP,4.58829840495455,0.3511173181596985,58.60281925,17.807791217322396,0.7863636363636364
6,Analytical score,5.0,MP,4.58829840495455,0.8552114069558125,40.17591175,18.012363882789746,0.7818181818181817
6,Amortized surrogate,5.0,NLOS,5.487999353039124,6.939880854003011,56.5718745,13.547704060774866,0.7363636363636363
6,Analytical score,5.0,NLOS,5.487999353039124,7.553370554415094,41.463567,14.798731976435263,0.775
6,Amortized surrogate,15.0,LOS,14.576257897163014,32.47525490399884,70.28786525,9.468979635298655,0.8409090909090909
6,Analytical score,15.0,LOS,14.576257897163014,3.6188253478475567,41.816459,23.687108211114143,0.8295454545454546
